Price,Close,High,Low,Open,Volume,daily_return,volatility_20,volume_change,stat_anomaly,ml_anomaly
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,
Date,,,,,,,,,,
2021-01-04,208.88218688964844,213.9773400431163,206.1187080370233,213.52635524032226,37130100,,,,False,False
2021-01-05,209.08370971679688,209.678634329478,206.97272515420607,208.46960485056292,23823000,0.000964767892127183,,-0.3583911705058699,False,False
2021-01-06,203.66226196289062,207.73071477548368,203.3648070560064,203.58549704475743,35930700,-0.025929555971862084,,0.5082357385719682,False,False
2021-01-07,209.45790100097656,210.46542054850582,205.06322234622965,205.37985754212093,27694500,0.028457108264573705,,-0.22922459067037382,False,False
2021-01-08,210.734130859375,211.65529553000536,208.2489262362572,209.8321610847662,22956200,0.006093013690576798,,-0.17109173301558067,False,False
2021-01-11,208.69027709960938,210.05282160222308,207.96101761834242,209.63062182705013,23031300,-0.009698731531673443,,0.003271447364981972,False,False
2021-01-12,206.23387145996094,208.31608560211117,204.68902651806664,207.74035589548853,23249300,-0.01177058018125099,,0.00946537972237782,False,False
2021-01-13,207.58682250976562,207.98982744101792,205.27432823721875,205.36069794074126,20087100,0.006560275672599092,,-0.13601269715647357,False,False
2021-01-14,204.4011688232422,208.66152780549393,204.13249885511956,207.17423821247684,29480800,-0.015346126733904675,,0.4676483912560798,False,False
2021-01-15,204.04612731933594,205.83087188668628,203.45121734402414,204.88093687983877,31746500,-0.0017369837264153976,,0.07685340967680654,False,False
2021-01-19,207.68275451660156,208.2008994612492,204.02691096298452,205.10159063568324,30480900,0.017822573969140887,,-0.0398658119792733,False,False
2021-01-20,215.26315307617188,216.65448284404494,208.49839462519878,208.89180945322397,37777300,0.03649989416412702,,0.23937613390680723,False,False
2021-01-21,215.86766052246094,217.1438501575346,213.42083121134726,215.60858068821213,30709400,0.0028082253634702514,,-0.18709383677499447,False,False
2021-01-22,216.8079833984375,220.76129675652857,216.66405830590344,217.89226790023852,30172700,0.00435601550366882,,-0.01747673350830692,False,False
2021-01-25,220.24313354492188,220.4830184561712,215.14798037261218,219.84971877653385,33152100,0.015844205054808658,,0.09874489190559688,False,False
2021-01-26,222.92984008789062,224.70497958743255,220.77087595822775,222.47885529838138,49169600,0.012198820910894526,,0.48315189686324556,False,False
2021-01-27,223.4767608642578,230.71169744934375,220.82843691168193,228.37041854682602,69870600,0.002453331398576175,,0.4210121701213758,False,False
2021-01-28,229.2628173828125,232.82271617243214,225.5781883862381,226.07715313829948,49111200,0.025891088165848286,,-0.29711209006363193,False,False
2021-01-29,222.57489013671875,228.38969980990777,221.98957018973405,226.44183490991654,42503100,-0.029171443160477928,,-0.1345538288618482,False,False
2021-02-01,229.9536895751953,232.68838365200105,223.02581157927415,225.54940574495873,33314200,0.03315198508665573,,-0.21619364234608773,False,False
2021-02-02,229.8193817138672,232.5060961930559,229.03256665892405,231.53696622596047,25916300,-0.0005840648244271884,0.018135462112722725,-0.22206446500291166,False,False
2021-02-03,233.1681365966797,235.17357096540331,229.57945300942697,229.87692260181475,27158100,0.014571246593038989,0.01823331180342084,0.047915790448482154,False,False
2021-02-04,232.21824645996094,233.39849108148437,230.64460160601337,232.84195618123965,25296100,-0.004073841951920731,0.01684476861542272,-0.06856149730651262,False,False
2021-02-05,232.4005584716797,233.4368633100368,230.69257863848463,232.42934349707153,18054800,0.0007850890896732299,0.016084330202984234,-0.2862615185740094,False,False
2021-02-08,232.6595916748047,233.82062650984076,231.0667522626685,233.31207164136814,22211900,0.0011145980234663622,0.01611044603262968,0.23024901965128386,False,False
2021-02-09,233.90701293945312,234.85694793762076,231.61371348356542,232.08387859856478,23565000,0.005361572483080668,0.015730621954570166,0.06091779631638894,False,False
2021-02-10,232.99545288085938,235.97001736898727,231.14353351995416,235.08724254171878,22186700,-0.0038971044396591825,0.015360966331355504,-0.058489284956503296,False,False
2021-02-11,234.59788513183594,235.23117025659255,232.3525509282651,234.87614522468496,15751100,0.00687752585367396,0.015361488628034551,-0.2900656699734525,False,False
2021-02-12,235.07766723632812,235.37512223975358,232.90909785912032,234.0605427220062,16561100,0.0020451254461333335,0.014545436003175951,0.051424979842677576,False,False
2021-02-16,233.83985900878906,236.17154846273206,233.0914190955274,235.1160487689445,26728500,-0.0052655288019965996,0.014679251575579508,0.613932649401308,False,False
2021-02-17,234.8592987060547,234.9650917712769,231.72399963468183,232.0894692554744,21653500,0.004359563427667412,0.014460980761239122,-0.18987223375797369,False,False
2021-02-18,234.46495056152344,234.5995949311717,231.647031012765,232.55107806974718,16925600,-0.0016790825260225573,0.01266877150943637,-0.21834345486872797,False,False
2021-02-19,231.75283813476562,234.53229432170122,230.993047615162,234.42650126233121,25262600,-0.01156724030718681,0.013159583695820104,0.49256747175875604,False,False
2021-02-22,225.53993225097656,228.82911468835837,223.51063965852657,228.33862759094472,36446900,-0.026808327068582494,0.014811548935153216,0.4427216517698098,False,False
2021-02-23,224.3473358154297,225.84766286022327,219.98098436441825,221.51978961171824,30228700,-0.005287739619517895,0.014529055888638393,-0.1706098461048814,False,False
2021-02-24,225.57843017578125,226.20356170801335,220.24071557506963,221.21207764018945,26339700,0.005487448094165792,0.014333557396122616,-0.1286525718935978,False,False
2021-02-25,220.23106384277344,225.61685322946673,219.16352111418414,223.20286682298797,39542200,-0.023705131420769687,0.015323309867671327,0.5012395737233151,False,False
2021-02-26,223.49142456054688,226.36704708770696,220.76004395905966,222.6739313555886,37819200,0.014804272662012119,0.014491746398698825,-0.043573701008037036,False,False
2021-03-01,227.8769989013672,228.38672511898815,224.23195895822414,226.87677089593706,25324000,0.019623009470916886,0.013610798085485282,-0.33039302788001856,False,False
2021-03-02,224.9243927001953,228.22320172977388,224.5204595960881,227.94428610482706,22812500,-0.01295701723037812,0.011695856867512606,-0.09917469594060968,False,False
2021-03-03,218.85577392578125,224.6455116135166,218.56724606158295,223.2798287097905,34029500,-0.026980705389757387,0.01305243074790129,0.4917041095890411,False,False
2021-03-04,218.0574951171875,223.59718252075484,215.68197229589236,218.0671220058217,44727800,-0.0036475108436685444,0.012429509717324072,0.31438310877327025,False,False
2021-03-05,222.74124145507812,224.3473617295842,217.7978484716733,220.7408002725728,41872800,0.0214794099848461,0.013600751518554492,-0.06383054833906432,False,False
2021-03-08,218.69224548339844,224.44350410139808,218.44219586527134,222.52000486158624,35267400,-0.018178025520685925,0.014050454019114969,-0.15774918324067178,False,False
2021-03-09,224.83782958984375,226.37663488338205,222.8085372631184,223.97226078418777,33080500,0.02810151815333506,0.015663681871195566,-0.06200910756109046,False,False
2021-03-10,223.52987670898438,227.9346923560373,223.16440710536557,227.9346923560373,29746800,-0.00581731678892905,0.01560183383698619,-0.10077538126690955,False,False
2021-03-11,228.0597381591797,230.0217013232755,225.34759663880936,225.97274282318187,29907600,0.02026512749386411,0.01637577337917883,0.005405623462019449,False,False
2021-03-12,226.7324981689453,226.7998276939092,224.30888474756043,225.05904836070448,22653700,-0.005819703209989591,0.01630260820846228,-0.24254370126656766,False,False
